#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
46	Blicavs, Mark	6	37	15	47	84	14.00	1	2	69	23	4	9	15	12	6	5	 	40	39	3	2	20	 	3	66.7	 
34	Mullin, Oisin	7	45	27	38	83	11.86	 	2	 	23	9	10	12	11	7	3	 	27	56	 	1	5	 	1	79.9	 
16	De Koning, Sam	6	40	36	38	78	13.00	1	 	13	12	13	5	4	16	2	4	 	30	44	8	 	34	 	1	72.7	 
12	Bowes, Jack	4	40	18	37	77	19.25	3	3	 	11	2	17	4	15	2	3	 	22	54	1	2	3	2	5	72.0	 
19	Martin, Jack	6	49	30	26	75	12.50	7	6	 	15	2	9	5	15	8	4	 	28	48	2	13	4	 	4	74.0	 
42	OConnor, Mark	5	37	19	34	71	14.20	3	1	 	15	6	9	7	9	2	1	 	29	44	 	1	7	 	1	75.4	 
33	Neale, Shannon	7	40	22	25	65	9.29	15	7	41	18	 	12	7	18	7	8	 	46	26	12	14	16	 	2	88.7	 
29	Worpel, James	4	33	9	32	65	16.25	2	2	 	25	5	17	22	12	3	8	 	31	35	 	1	3	 	1	69.3	 
36	Henry, Oliver	6	42	13	17	59	9.83	9	2	 	8	 	15	1	15	9	5	 	26	35	1	8	3	 	4	85.5	 
38	Henry, Jack	5	41	27	15	56	11.20	1	 	 	4	9	2	 	5	3	4	 	21	35	3	 	31	 	 	88.6	 
11	Edwards, Mitchell	6	16	3	29	45	7.50	 	1	112	11	1	7	15	18	12	9	 	33	12	2	 	13	 	 	58.3	 
21	Wiltshire, Oliver	4	24	7	15	39	9.75	2	3	 	4	2	10	2	7	1	3	 	12	25	1	2	3	4	1	72.8	 
45	Close, Brad	5	18	8	19	37	7.40	3	3	 	9	 	8	1	6	3	4	 	14	22	2	5	6	 	3	80.6	 
13	Clark, Jhye	3	18	5	17	35	11.67	2	1	 	7	 	8	4	15	3	4	 	17	18	1	2	3	 	 	62.0	 
35	Dangerfield, Patrick	3	14	9	13	27	9.00	4	3	 	2	 	3	3	5	3	1	 	15	13	3	8	 	 	3	67.3	 
8	Kolodjashnij, Jake	2	15	7	11	26	13.00	1	 	 	1	3	4	 	8	 	3	 	8	18	2	 	11	1	 	74.5	 
10	Knevitt, Mitch	1	6	3	5	11	11.00	1	1	 	 	 	1	 	1	2	1	 	5	6	1	1	 	 	1	77.0	 
29 players used	1576	675	1027	2603	16.17	95	70	236	447	263	400	244	410	164	118	 	927	1574	63	96	308	42	67	 	 
[Top]
Gold Coast [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
11	Miller, Touk	7	77	25	102	179	25.57	4	2	 	27	16	31	25	19	2	3	 	56	123	1	2	5	3	3	80.0	 
2	Noble, John	7	97	32	74	171	24.43	3	1	 	12	38	16	2	13	5	4	 	26	119	 	 	9	4	1	80.9	 
6	Uwland, Bodhi	7	110	43	57	167	23.86	 	1	 	12	32	10	6	19	7	3	 	36	93	2	 	26	1	1	88.7	 
15	Anderson, Noah	6	90	24	62	152	25.33	2	8	 	16	16	35	32	23	6	8	 	56	98	 	4	4	3	8	83.7	 
3	Petracca, Christian	5	61	21	69	130	26.00	10	4	 	15	3	30	29	14	2	3	 	58	67	2	9	4	2	7	75.6	 
17	Rioli, Daniel	7	62	23	66	128	18.29	1	2	 	19	16	19	4	13	5	4	 	20	104	 	 	11	15	1	79.6	 
27	Powell, Wil	7	71	30	50	121	17.29	2	4	 	43	21	23	11	18	4	6	 	37	80	 	 	8	3	3	80.0	 
1	Andrew, Mac	7	65	34	54	119	17.00	 	1	21	15	20	13	4	14	8	7	 	39	79	5	 	40	1	5	85.6	 
16	Jeffrey, Joel	6	74	31	44	118	19.67	2	 	 	8	20	20	9	10	4	4	 	30	83	 	1	10	4	4	74.3	 
14	Weller, Lachie	7	55	16	52	107	15.29	4	 	 	18	12	18	8	13	4	3	 	34	73	 	2	11	13	5	80.3	 
18	Rowell, Matt	4	45	7	53	98	24.50	 	 	 	24	6	14	22	27	8	12	 	51	46	1	 	1	 	2	83.0	 
25	Collins, Sam	7	45	44	50	95	13.57	 	 	 	6	16	4	 	6	5	2	 	39	54	8	 	45	1	 	92.0	 
26	Graham, Will	7	40	22	53	93	13.29	3	3	 	28	3	26	12	19	7	10	 	44	53	1	6	3	4	6	77.0	 
8	Lombard, Leo	7	40	21	50	90	12.86	4	8	 	15	 	22	3	27	2	11	 	34	59	 	6	6	9	4	79.3	 
33	Clohesy, Sam	5	53	24	34	87	17.40	2	1	 	12	4	11	4	11	4	4	 	21	64	 	4	5	2	 	75.4	 
32	Uwland, Zeke	7	49	17	38	87	12.43	3	4	 	7	10	17	3	15	5	7	 	20	71	 	 	4	2	1	65.7	 
28	Witts, Jarrod	7	45	10	42	87	12.43	1	1	250	18	8	16	34	30	11	14	 	64	24	2	1	18	 	2	78.0	 
22	Long, Ben	7	41	15	39	80	11.43	11	3	 	19	1	16	2	20	 	8	 	33	47	1	5	12	 	10	82.1	 
